sentenceA,sentenceB,if_sentence_a_is_true_then,to_what_extent_are_the_two_sentences_expressing_a_related_meaning,to_what_extent__are_the_two_sentences_expressing_a_related_meaning:variance
Some women are talking,The men are talking,Sentence B cannot be said to be true or false,3.4,1.2
A man is not playing keyboards,A man is riding a mechanical bull,Sentence B cannot be said to be true or false,1,0
Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,Sentence B cannot be said to be true or false,4.2,0.748
A child in orange is playing outdoors with a snowball,A child is making a snow ball,Sentence B cannot be said to be true or false,4.2,0.748
Some persons are riding and paddling a raft,Four people are floating on a raft,Sentence B cannot be said to be true or false,4.4,0.49
A man in a car is pulling up beside a woman who is walking along the street,A child is walking down the street and a jeep is pulling up,Sentence B cannot be said to be true or false,2.6,1.356
A woman is looking down and is wearing a wedding dress,A woman is looking down and is wearing a wedding veil,Sentence B is true,4.6,0.49
The potato isn't being peeled by a woman,One woman is peeling a potato,Sentence B is false,4.4,0.8
Two boys are wearing brown shirts and are enthusiastically tugging at a rope on a wooden platform,Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Sentence B is true,4.6,0.49
A baby is playing with a toy,A baby is playing with a doll,Sentence B cannot be said to be true or false,4.8,0.4
A machine is sharpening a knife,A machine is sharpening a pencil,Sentence B cannot be said to be true or false,3.6,1.02
There is no one peeling a banana,A man is eating a banana,Sentence B cannot be said to be true or false,3.6,1.356
A cat is playing a piano,A cat is playing a keyboard,Sentence B is false,4,0.632
Three boys are carefully walking on rocks along a river,The men in brown shorts are walking on the rocks beside a river,Sentence B cannot be said to be true or false,3.8,0.4
A man is wearing a hat which is hard and is dancing,A man with a hard hat is dancing,Sentence B is true,5,0
There is no woman cutting an onion,A woman is cutting meat,Sentence B cannot be said to be true or false,3,1.414
"A rock is being climbed by a person with a rope, which is pink","A person is climbing a rock with a rope, which is pink",Sentence B is true,5,0
A man is on a boat in front of the sunset,"A man is sitting on a boat in font of the sunset, near a flag",Sentence B cannot be said to be true or false,3.8,0.98
Two balls are bouncing against some colorful kids,The children are wearing black tights and hopping,Sentence B cannot be said to be true or false,1.8,1.166
The men are not playing soccer,The men are playing soccer,Sentence B is false,4.4,0.8
The boy is not riding a tricycle,The boy is riding a tricycle,Sentence B is false,4,1.549
There is no man slicing a tomato,A woman is slicing a carrot,Sentence B cannot be said to be true or false,2,1.155
A boy is hanging a rod for fishing and running in front of a fish,A boy is running away from the fishing line,Sentence B is false,3.2,0.98
There is no white race car driving through a puddle,A white race car is driving through a puddle,Sentence B is false,4,1.265
A dog is not running towards a ball,A dog is running through a field and is chasing a ball,Sentence B is false,3,1.414
Some women are holding each other in a circle and dancing,Two men are playing table tennis,Sentence B cannot be said to be true or false,1,0
The man is seasoning the meat,The man is adding seasoning to the water in a bowl,Sentence B cannot be said to be true or false,2.6,0.8
There is no man drawing a picture,The person is drawing,Sentence B cannot be said to be true or false,4.4,0.49
There is no man cutting tomatoes,A woman is cutting broccoli,Sentence B cannot be said to be true or false,2,0.894
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,Sentence B is false,3.4,1.02
The man is playing a game on a lawn,The rhino is grazing on the grass,Sentence B cannot be said to be true or false,1,0
One brown and black dog is running through the leaves,A dog in a colored coat is running across the yard,Sentence B cannot be said to be true or false,2.6,1.02
A person is sprinkling seasoning on several sliced and buttered loaves of bread,A man is putting garlic on some bread slices,Sentence B cannot be said to be true or false,4.2,0.748
A man is not rinsing a large steak,A man is rinsing a large steak,Sentence B is false,4.2,1.166
A man is playing a guitar,A girl is playing a guitar,Sentence B cannot be said to be true or false,3.6,0.8
A man with a shirt is holding a football,A man with no shirt is holding a football,Sentence B cannot be said to be true or false,3.8,1.47
Some children are wearing black tights and hopping,The children are wearing black tights and hopping,Sentence B is true,5,0
One panda is climbing,A panda is climbing,Sentence B is true,5,0
A man is removing some food from a box,The man is putting chicken into the container,Sentence B is false,2.4,1.2
A brown and white dog is playing on the lawn,A dog is playing on the green grass,Sentence B is true,4.6,0.49
A person is packing a zucchini,A woman is scrubbing a zucchini with a vegetable brush,Sentence B cannot be said to be true or false,2.8,0.98
There is no lady cutting up some meat,A lady is cutting up some meat,Sentence B is false,2.6,1.96
A young boy with a heart tank top is raising his hands as he is sliding,A young girl with a heart tank top is raising her hands as she is sliding,Sentence B cannot be said to be true or false,4.6,0.49
Two men are swimming in deep water,Two men are standing in deep water,Sentence B is false,4,1.095
Two men are fighting,A couple of boys are playing a video game,Sentence B cannot be said to be true or false,1.6,0.8
Five people are standing in the grass with no dogs,Five people are standing with three dogs in the green field beside the road,Sentence B is false,4,1.549
A child in a green and white sports uniform is resting on the grass,A child in a green and white sports uniform is running over the grass,Sentence B is false,4.6,0.49
An Asian man is dancing and three kids are looking,The children of a family are playing and waiting,Sentence B cannot be said to be true or false,1.8,0.98
A black and white dog is playing with a new volleyball,A black and white dog is playing with a broken volleyball,Sentence B cannot be said to be true or false,4,0.894
A woman is bowling two eggs to a break dancer ,Some ingredients are being mixed in a bowl by a person,Sentence B cannot be said to be true or false,1.4,0.49
There is no light brown dog running up a street,A light brown dog is running up a street,Sentence B is false,3.8,1.47
A little boy is getting out of a puddle in the street,A little boy is jumping into a puddle on the street,Sentence B is false,4.6,0.8
Skewers are being placed onto a rack by a woman,A woman is placing skewers onto a rack,Sentence B is true,4.8,0.4
Two people are ignoring the nearby gold statue,Two people are looking at a gold statue,Sentence B is false,4,1.095
The boy in the blue coverall is painting,The lady is holding the paintbrush next to the artist's easel ,Sentence B cannot be said to be true or false,1.2,0.4
The family is posing by a mantel and a Christmas tree,A family is posing by the mantel and the Christmas tree,Sentence B is true,5,0
A tiger is strolling around,A tiger is walking around,Sentence B is true,5,0
The woman is not slicing an onion with a knife,A man is preparing some dish,Sentence B cannot be said to be true or false,1.8,0.98
"The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back",A girl with red hair and red eyebrows is in midspeech,Sentence B cannot be said to be true or false,3.2,1.166
A large dog and a small dog is standing on the kitchen counter and investigate,A large dog and a small dog are standing next to the kitchen counter and are investigating,Sentence B is false,4.4,0.49
A little boy is topless and is serious,The boy is playing in the mud,Sentence B cannot be said to be true or false,1.8,0.748
The man isn't playing the piano,A guy is cheerfully playing with a footbag,Sentence B cannot be said to be true or false,1,0
A man is falling off a surfboard in the water,A man is performing a trick on a surfboard in the water,Sentence B cannot be said to be true or false,4,0
There is no person setting fire to the cameras,The person is setting fire to the cameras,Sentence B is false,3.6,1.744
A biker wearing black is breaking the gears,One man is wearing a black helmet and pushing a bicycle,Sentence B cannot be said to be true or false,2.6,1.2
A crowd of people is far from the water,A crowd of people is near the water,Sentence B is false,4.2,1.166
A surfer in a white wetsuit is riding a foamy wave,A surfer is surfing a huge wave,Sentence B cannot be said to be true or false,4.2,0.4
Noodles are being boiled in water by a woman,A woman is boiling noodles in water,Sentence B is true,5,0
A magician is cutting a girl into two pieces like butter,Tofu is being sliced by a woman,Sentence B cannot be said to be true or false,1.4,0.49
A person is combing the fur of a cat,A person is brushing a cat,Sentence B is true,4.6,0.49
A man is performing with a guitar,A man is singing and playing a guitar,Sentence B is true,4.6,0.49
A white woman is standing on a woman dressed in blue on a stage,A woman in a white dress and a woman in a blue dress are standing on a stage,Sentence B cannot be said to be true or false,4.4,0.8
The cop is sitting on a police bicycle,A policeman is sitting on a motorcycle,Sentence B cannot be said to be true or false,4.2,0.748
The woman dressed in leather chaps and a purple shirt is standing in front of onlookers,The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,Sentence B cannot be said to be true or false,3,1.414
A little girl in a pink shirt is running under a tree in the desert,A girl is wearing jeans and a pink shirt and is running,Sentence B cannot be said to be true or false,3.8,0.748
A container is being shaken over a sink in the kitchen by a man,A man is shaking a container over a sink in the kitchen,Sentence B is true,4.8,0.4
The black dog is not walking along a tree trunk bridge over water,The black dog is walking along a tree trunk bridge over water,Sentence B is false,4.4,0.8
There aren't many people in the ice skating park,An ice skating rink placed outdoors is full of people,Sentence B is false,3.4,1.625
The man is pouring oil into a pan,A man is pouring oil into a skillet,Sentence B cannot be said to be true or false,4.2,0.4
The large brown dog is not running outside in the dirt,The large brown dog is running outside in the dirt,Sentence B is false,4.2,1.6
There is no cat swinging on a fan,A cat is stuck on a moving ceiling fan,Sentence B is false,2.6,1.96
A young child is splashing in the water,The small child is wading through the water and is being guided by another person,Sentence B cannot be said to be true or false,3.6,0.8
One man is descending a cliff with a rope,"A person is climbing a rock with a rope, which is pink",Sentence B cannot be said to be true or false,3.2,1.166
Two people are sitting comfortably on the bench,A man and a woman are sitting comfortably on the bench,Sentence B cannot be said to be true or false,4.4,0.49
A few swimmers are racing in a lake,Several swimmers are jumping into the water,Sentence B cannot be said to be true or false,3.8,1.166
A woman is cutting garlic,A woman is slicing garlic,Sentence B is true,5,0
A plane is landing,An airplane is taking off,Sentence B cannot be said to be true or false,5,0
There is no large brown dog and small grey dog standing on a rocky surface,The brown dog is sniffing the back of a small black dog,Sentence B cannot be said to be true or false,3.4,1.02
The bicycle is being ridden by a man wearing a beret on a recreation trail,A man is wearing a beret and is riding the bicycle on a recreation trail,Sentence B is true,5,0
Two young kids are eating corndogs,"Two toddlers are eating corndogs in a wagon, which is really small",Sentence B cannot be said to be true or false,4.4,0.49
The woman is not playing an electric guitar,A man is playing an acoustic guitar,Sentence B cannot be said to be true or false,3.4,1.356
Two dogs are playing with each other,A black dog and a yellow dog are playing with each other,Sentence B cannot be said to be true or false,4.6,0.49
A kid wearing a striped shirt is running barefoot on the sandy hill,A boy is running through the sand,Sentence B is true,4.2,0.4
A little dog is sprinting and its owner is trying to catch it,The black and white dog is running and a person stands behind it,Sentence B cannot be said to be true or false,3,0.894
Someone is typing on a keyboard,Someone is typing,Sentence B is true,4.2,0.748
A woman is riding a scooter towards the water,The boy is riding a tricycle,Sentence B cannot be said to be true or false,1.6,0.49
A leap over white snow is greatly appealing to the snowboarders,A person who is practicing snowboarding jumps into the air,Sentence B cannot be said to be true or false,2.8,0.748
A dog is jumping on a trampoline,A dog is bouncing on a trampoline,Sentence B is true,5,0
A dog is caught mid air with a ball,A brown and white dog is jumping in the air with a tennis ball in its mouth,Sentence B cannot be said to be true or false,3.8,0.748
A man is attentively taking pictures of a lake,A man is taking pictures of a lake,Sentence B is true,4.8,0.4
A young mother is playing with her boy in the park,A boy in blue is running away from a woman in blue,Sentence B cannot be said to be true or false,2.4,1.356
A blond woman is sitting on the roof of a yellow vehicle and two people are outside,Two people are driving a jeep and a lady is sitting on the top of it,Sentence B cannot be said to be true or false,2.6,0.8
Some swimmers are getting out of a lake,Several swimmers are jumping into the water,Sentence B cannot be said to be true or false,2.6,1.2
People are walking through a crowd in the street,A man and a woman are walking down a city street,Sentence B cannot be said to be true or false,4,0
"The man and the boy are standing at the top of the stairs, which are outdoors",An adult is in the amphitheater and is talking to a boy,Sentence B cannot be said to be true or false,3,1.265
The man in brown colored shorts is walking on the rocks beside a river,The men in brown shorts are walking on the rocks beside a river,Sentence B cannot be said to be true or false,4.8,0.4
A little boy is playing a guitar,A boy is playing guitar,Sentence B is true,4.8,0.4
A black animal is jumping from a dock into the water,A black dog is jumping off a dock into a pond,Sentence B cannot be said to be true or false,4.2,0.748
A man is playing an electronic keyboard,A band is playing some instruments,Sentence B cannot be said to be true or false,4,0.632
A man is drawing some figures,A man is strolling in the rain,Sentence B cannot be said to be true or false,1.4,0.49
The plane is landing,A plane is landing,Sentence B is true,5,0
A dog is pushing a toddler into a puddle of rain,The dog is knocking a boy into the water,Sentence B is true,4.4,0.8
The woman is slicing garlic,A woman is chopping broccoli,Sentence B cannot be said to be true or false,3.4,0.49
A brown dog is staring attentively at a brown and white dog,The little dog is grabbing the bedroom slipper with its mouth,Sentence B cannot be said to be true or false,1.8,0.748
A person is stopping playing a trumpet ,A man is playing the guitar,Sentence B cannot be said to be true or false,3.2,1.166
There is no young child splashing in the water,The small child is wading through the water and is being guided by another person,Sentence B is false,3,1.265
The woman is not cracking two eggs into a glass bowl,A woman is cracking an egg into a bowl,Sentence B cannot be said to be true or false,4,1.095
A person is jotting something with a pencil,The person is writing with a pencil,Sentence B is true,5,0
There is no lady peeling the potato,The lady is peeling the potato,Sentence B is false,4.2,0.748
A brown and white dog is catching a dirty golf ball in a dirt field,A brown and white dog is catching a dirty tennis ball in a dirt field,Sentence B cannot be said to be true or false,4.4,0.49
A woman in a fur hat and fur coat is sitting outside a building,A woman in a fur hat and fur coat is standing outside a building,Sentence B is false,4,1.549
Children are playing in a fountain that is spraying water from the ground,Little kids are playing in a water fountain in front of lots of people,Sentence B cannot be said to be true or false,4.2,0.4
A prey is quickly running behind the cheetah,A cheetah is quickly running behind its prey.,Sentence B is false,4.4,0.49
A woman is cutting garlic,A woman is slicing an onion,Sentence B cannot be said to be true or false,3.2,0.748
A woman is pouring eggs into a pan,A woman is pouring eggs into a frying pan,Sentence B cannot be said to be true or false,4.6,0.49
The man is playing a piano,A guy is cheerfully playing with a footbag,Sentence B cannot be said to be true or false,1.4,0.8
The woman is poking holes in the potato,A woman is putting a baby in a waste bin,Sentence B cannot be said to be true or false,1,0
A musician is playing a keyboard,A man is playing a guitar,Sentence B cannot be said to be true or false,2.6,1.356
A dirty tan dog is rolling in the water and looking right at the camera,A dog is rolling on the ground,Sentence B cannot be said to be true or false,2.8,1.327
The deer is not jumping over the fence,A deer is jumping over a cyclone fence,Sentence B is false,4,1.095
"A biker with a blue jacket, black pants and a white helmet is driving recklessly on dirt and people watch",The motocross rider is wearing blue and black pants,Sentence B cannot be said to be true or false,3.6,1.02
A man in a purple colored suit is standing by a purple case and is playing a guitar,The man is playing the guitar and has the guitar case open for donations,Sentence B cannot be said to be true or false,3.8,0.4
Garlic is being diced by the woman,The woman is dicing garlic,Sentence B is true,5,0
A man is jumping off a low wall,A man is jumping onto a low wall,Sentence B is false,3.4,0.8
The woman is putting down the kangaroo,The woman is picking up a baby kangaroo,Sentence B cannot be said to be true or false,3.4,1.2
The man is not walking along a path through the wilderness,The man is walking along a path through the wilderness,Sentence B is false,5,0
An animated airplane is taking off,An animated airplane is landing,Sentence B is false,4.4,0.49
The person is not standing on white ice,A woman is peeling a potato,Sentence B cannot be said to be true or false,1,0
There is no man spraying a super soaker into the mouth of a dog,A person is chopping an onion,Sentence B cannot be said to be true or false,1,0
"A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass","A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",Sentence B cannot be said to be true or false,3,1.095
A boat is sailing quietly over the water,A boat is sailing peacefully over the water,Sentence B is true,4.8,0.4
A bicycle is being ridden by the little boy in a race,The little boy is riding a bicycle in a race,Sentence B is true,4.8,0.4
The boy and girl are not playing on a playground,The boy and girl are playing on the outdoor gym,Sentence B cannot be said to be true or false,3.8,0.4
A man is cleaning the sink,A man is pouring cleaner into the sink,Sentence B is true,5,0
A woman is removing eggs from a frying pan,A woman is pouring eggs into a frying pan,Sentence B is false,3.2,1.47
Three men are practicing karate outdoors,Three men are practicing karate in a field,Sentence B cannot be said to be true or false,4.8,0.4
A dog is not running towards a ball,A dog is running towards a ball,Sentence B is false,2.2,1.166
The man's jumper is in the empty pool,A lone biker is jumping in the air,Sentence B cannot be said to be true or false,1.6,1.2
The soccer player is kicking the ball between somebody's legs,A person is kicking a soccer ball between their feet,Sentence B cannot be said to be true or false,3.8,0.98
"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,Sentence B is true,4.6,0.49
There is no kitten drinking milk,A kitten is drinking fresh milk,Sentence B is false,3.6,1.744
Two men are walking through the grass,Two men are walking through the water,Sentence B cannot be said to be true or false,2.8,1.47
There is no woman putting meat in a pan,A woman is putting meat in a pan,Sentence B is false,3.4,1.356
A piano is being played by a person,A person is playing a piano,Sentence B is true,4.8,0.4
A bride in a white dress is running,A girl in a white dress is running,Sentence B is true,4.2,0.748
Three boys in karate costumes aren't fighting,Three men are practicing karate in a field,Sentence B cannot be said to be true or false,2.8,1.47
The lady is carefully slicing up the meat,The lady is slicing up the meat,Sentence B is true,4.6,0.49
A big city is begging for men and money holders,A man in a big city is holding a sign and begging for money,Sentence B cannot be said to be true or false,2.8,1.166
A woman is riding a scooter for water,The boy is riding a tricycle,Sentence B cannot be said to be true or false,1.2,0.4
There is no monkey brushing the dog,The monkey is brushing a bull dog,Sentence B is false,2.4,1.497
A person is dancing in the rain,A man is singing into a microphone,Sentence B cannot be said to be true or false,1,0
The woman in a red costume is not leaning against a brick wall and is not playing an instrument,The woman in a red costume is leaning against a brick wall and playing an instrument,Sentence B is false,3.2,1.833
The group of people is sitting on a ledge which is rocky and a scenic view is behind them,The group of people is sitting on a rocky ledge and a scenic view is behind them,Sentence B is true,5,0
Two people wearing helmets are driving over the yellow and white flowers,Two adults are standing on a scooter in a field of yellow flowers,Sentence B cannot be said to be true or false,4,1.095
Three men are looking at something nearby,Three men are looking into the distance,Sentence B is false,3.6,0.8
A model is wearing a purple shirt and black leather chaps and is posing for the camera,A man is wearing a purple shirt and black leather chaps and is posing for the camera,Sentence B cannot be said to be true or false,4.6,0.49
A child is watching someone playing outdoors and is spouting water over the rest of his family ,A boy is holding a hose next to a man and another boy is watching,Sentence B cannot be said to be true or false,3.2,1.166
A person is wrapping up an onion,A person is cutting an onion,Sentence B is false,4.6,0.49
A yellow dog is stopping on white snow on a sunny day,A yellow dog is running on white snow on a sunny day,Sentence B is false,3.6,1.356
The chef is carefully drying the oil from the pan,The chef is carefully pouring some oil into a pan,Sentence B is false,3.6,1.02
Two cats are playing with a red ball,Two daschunds are playing with a red ball,Sentence B cannot be said to be true or false,3.2,1.166
A man is taping a cut box,A man is cutting a box,Sentence B cannot be said to be true or false,3.6,1.356
A woman is not riding a horse,A woman is riding a horse,Sentence B is false,4.2,0.748
A black dog is sitting in the grass and keeping its mouth closed,A black dog is running in the grass,Sentence B cannot be said to be true or false,4,0
A toy train is missing a toy car,A toy train is striking a toy car,Sentence B is false,4.4,0.49
One person is slicing a clove of garlic into pieces,The person is slicing a clove of garlic into pieces,Sentence B is true,5,0
The kids are not chasing each other in the sand,A little boy is running on the ground and playing with a little girl,Sentence B cannot be said to be true or false,2.4,1.2
A man is sitting,A man is dancing,Sentence B is false,3,1.095
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,Sentence B cannot be said to be true or false,3.6,0.49
The back of a small black dog is being sniffed by the brown dog,The brown dog is sniffing the back of a small black dog,Sentence B is true,5,0
A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,A boy is climbing up a wall artificially built for climbing and is attached to a rope,Sentence B is true,5,0
The young child is splashing in the water,The small child is wading through the water and is being guided by another person,Sentence B cannot be said to be true or false,4,0
"A young, topless woman is covered in paint",A nude lady is walking in front of a crowd in body paint,Sentence B cannot be said to be true or false,4.6,0.49
"Three young men are furiously running, jumping and kicking near a vending machine",Three men are jumping off a wall,Sentence B cannot be said to be true or false,2.2,1.166
Three people are driving four wheel ATVs in a street,Three people are driving four wheel ATVs in a field,Sentence B is false,3.6,1.356
A man is slowly folding a tortilla,A person is folding a tortilla,Sentence B is true,4.8,0.4
Someone is being boiled with okra in a pot,Someone is cooking okra in a pan,Sentence B cannot be said to be true or false,3.4,0.8
A man is riding a horse in the desert,A guy is riding a horse,Sentence B is true,4.2,1.166
There is no football player in a purple jersey running with the ball for a touchdown,A football player in a purple jersey is running with the ball for a touchdown,Sentence B is false,4.6,0.49
There is no woman slicing a carrot,A woman is slicing a carrot,Sentence B is false,4.2,1.166
A man who is playing dunks the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,Sentence B cannot be said to be true or false,4,0
A boy is wearing an orange shirt and a striped tie,A girl in an orange shirt and clown makeup is standing in a park and others are looking on,Sentence B cannot be said to be true or false,1.2,0.4
A man is cleaning the edge of a bowl,A man is wiping the edge of a bowl,Sentence B is true,5,0
Two dogs are running and carrying an object in their mouths,A dog is chasing another and is holding a stick in its mouth,Sentence B cannot be said to be true or false,4,0.632
A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,Sentence B cannot be said to be true or false,3.4,1.02
Somebody is leaping in the air on a board,A snowboarder is doing a flip over a mound of snow,Sentence B cannot be said to be true or false,3.8,1.166
A skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard,Sentence B cannot be said to be true or false,3.6,0.8
Three men are jumping on a wall,"Three young men are running, jumping and kicking near a vending machine",Sentence B cannot be said to be true or false,3.4,0.8
A classroom is empty,A classroom is full of students,Sentence B is false,2.8,1.6
Three boys are carefully walking on rocks along a river,Three boys are walking on rocks along a river,Sentence B is true,4.8,0.4
A dog that has a white and brown colored coat is trotting through shallow water.,A dog that has a brown and white coat is trotting through shallow water,Sentence B is true,5,0
There is no woman slicing a tomato,A woman is peeling a potato,Sentence B cannot be said to be true or false,3.2,1.166
A man is making a sketch,A man is drawing,Sentence B is true,4.6,0.49
The snowboarder is jumping off a snowy hill,A snowboarder is jumping off the snow,Sentence B is true,4.8,0.4
